Monster Hunter Rise,2021,Capcom,PC (Microsoft Windows) / Nintendo Switch
Guilty Gear: Strive,2021,Arc System Works,Arcade / PlayStation 5 / PC (Microsoft Windows) / PlayStation 4
Psychonauts 2,2021,Double Fine Productions,Xbox One / PlayStation 4 / PC (Microsoft Windows) / Xbox Series X|S
It Takes Two,2021,Hazelight Studios,Xbox One / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5 / Xbox Series X|S
The Great Ace Attorney Chronicles,2021,Capcom,PC (Microsoft Windows) / Nintendo Switch / PlayStation 4
Forza Horizon 5,2021,Playground Games,Xbox Series X|S / PC (Microsoft Windows) / Xbox One
Dyson Sphere Program,2021,Youthcat Studio,PC (Microsoft Windows)
Ratchet & Clank: Rift Apart,2021,Insomniac Games,PlayStation 5
Metroid Dread,2021,MercurySteam,Nintendo Switch
Disco Elysium: The Final Cut,2021,ZA/UM,PC (Microsoft Windows) / PlayStation 5 / Nintendo Switch / Xbox One / Xbox Series X|S / PlayStation 4 / Mac / Google Stadia
Inscryption,2021,Daniel Mullins Games,PC (Microsoft Windows)
Super Mario 3D World + Bowser's Fury,2021,Nintendo EAD Tokyo,Nintendo Switch
Eastward,2021,Pixpil Studio,Nintendo Switch / Mac / PC (Microsoft Windows)
Valheim,2021,Iron Gate AB,Linux / PC (Microsoft Windows)
The Forgotten City,2021,Modern Storyteller,PlayStation 5 / Xbox One / PC (Microsoft Windows) / Nintendo Switch / PlayStation 4 / Xbox Series X|S
Death's Door,2021,Acid Nerve,PC (Microsoft Windows) / Xbox One / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Nintendo Switch
ENDER LILIES: Quietus of the Knights,2021,adglobe,Nintendo Switch / PlayStation 4 / PlayStation 5 / Xbox One / Xbox Series X|S / PC (Microsoft Windows)
Strangeland,2021,Wormwood Studios,Mac / PC (Microsoft Windows)
Returnal,2021,Housemarque,PlayStation 5
Portal Reloaded,2021,PORTANIS,PC (Microsoft Windows)
Back 4 Blood,2021,Turtle Rock Studios,Xbox Series X|S / PlayStation 5 / PlayStation 4 / Xbox One / PC (Microsoft Windows)
HITMAN 3,2021,IO Interactive,Xbox One / Google Stadia / PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S / PlayStation 4
Monster Hunter Stories 2: Wings of Ruin,2021,Capcom,PC (Microsoft Windows) / Nintendo Switch
Bowser's Fury,2021,Nintendo EAD Tokyo,Nintendo Switch
Life is Strange: True Colors,2021,Deck Nine,Google Stadia / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5 / Nintendo Switch / Xbox One / Xbox Series X|S
Little Nightmares II,2021,Tarsier Studios,PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S / Google Stadia / Xbox One / PlayStation 4 / Nintendo Switch
Resident Evil Village,2021,Capcom,Xbox One / Google Stadia / PlayStation 4 / Xbox Series X|S / PC (Microsoft Windows) / PlayStation 5
NieR Replicant ver.1.22474487139...,2021,Toylogic,PlayStation 4 / PC (Microsoft Windows) / Xbox One
The Binding of Isaac: Repentance,2021,"Nicalis, Inc.",Mac / PlayStation 5 / Nintendo Switch / Xbox Series X|S / PC (Microsoft Windows) / Linux
DEATHLOOP,2021,Arkane Studios,PC (Microsoft Windows) / PlayStation 5
